,userid
2383,916836
2384,916894
2385,917357
2386,917804
2387,918412
2388,918481
2389,919289
2390,919300
2391,920598
2392,920851
2393,920995
2394,921190
2395,921351
2396,921797
2397,922366
2398,922420
2399,922655
2400,923139
2401,923295
2402,923971
2403,923979
2404,924236
2405,925050
2406,925342
2407,926568
2408,926734
2409,927595
2410,927658
2411,929362
2412,929515
2413,930626
2414,931580
2415,932351
2416,932725
2417,934404
2418,934537
2419,934782
2420,936018
2421,937045
2422,938835
2423,939057
2424,939140
2425,940006
2426,940131
2427,940553
2428,941229
2429,941385
2430,942432
2431,943233
2432,943499
2433,943502
2434,945861
2435,946351
2436,947164
2437,947603
2438,949153
2439,949758
2440,949944
2441,950638
2442,951754
2443,952346
2444,953156
2445,955045
2446,955206
2447,955232
2448,956094
2449,956542
2450,956590
2451,957067
2452,957153
2453,957208
2454,957577
2455,957963
2456,958359
2457,958764
2458,958959
2459,960277
2460,963426
2461,963831
2462,964996
2463,966062
2464,966939
2465,967266
2466,967357
2467,967840
2468,967987
2469,968579
2470,969321
2471,969619
2472,970411
2473,970507
2474,970606
2475,971335
2476,971837
2477,973915
2478,974121
2479,975193
2480,975317
2481,975476
2482,975706
2483,977762
2484,977816
2485,979677
2486,979880
2487,980188
2488,980797
2489,981034
2490,981042
2491,983104
2492,984797
2493,985083
2494,985235
2495,986441
